"Gene","DPI3.lfc","DPI3.padj","DPI4.lfc","DPI4.padj","DPI5.lfc","DPI5.padj"
"ENSCSAG00000006556",-0.419271400728183,0.137784984881365,-0.322800184024399,0.206877873376151,-0.526415728497554,0.0793599017991507
"ENSCSAG00000006580",0.229329643422556,0.33550020636266,0.201331502886753,0.39539069128096,0.311286385140119,0.195323283055819
"ENSCSAG00000006598",0.0293986564496533,0.92624111436715,-0.0360480669660014,0.896291856038426,-0.108487762144522,0.666671651719406
"ENSCSAG00000006643",-0.103794141991708,0.665130381802906,0.0458150825953567,0.861533910254941,0.0248657407330067,0.934060072868375
"ENSCSAG00000006650",0.0343296596181385,0.851394094189936,0.0411560287183212,0.799403964488345,0.0621111083460262,0.71956929601916
"ENSCSAG00000006675",-0.0538290782277381,0.847120534003517,0.00798641097781189,0.98039852026451,-0.250310822285321,0.306667520992339
"ENSCSAG00000006678",1.05416147405506,0.0274017627846081,1.49852867899356,0.00511867487538363,1.22146984163851,0.0135601349693351
"ENSCSAG00000006683",-0.0117507611474137,0.968311053751047,-0.141491132996987,0.553832375071756,0.0580594066199408,0.831004386964032
"ENSCSAG00000006702",0.063477472572566,0.815584645327541,-0.0310363644734048,0.916784294736287,-0.0565914301373953,0.828707883918774
"ENSCSAG00000006709",-0.0417971320133014,0.825945800344022,0.0310625467454873,0.872715303454345,-0.00751729054349783,0.969198646655894
"ENSCSAG00000006746",-0.0648357337886355,0.810693772881578,-0.0711562787335828,0.777006228493324,0.039034369242868,0.889672047010775
"ENSCSAG00000006750",1.76784056996012,4.32787225320202e-05,2.3686012947977,2.56902333114771e-08,1.96348679986772,4.86473501560816e-06
"ENSCSAG00000006782",-0.407573685143229,0.0601526415916438,-0.238656699916493,0.270684663107453,-0.489068215810059,0.0229711381819395
"ENSCSAG00000006829",0.0940451196022541,0.415157047324007,0.0580784603154253,0.573195788365305,0.248552774757977,0.0563026376567649
"ENSCSAG00000006840",0.0967916788938439,0.62185184714766,0.202422234032162,0.263996168713099,0.174994221985927,0.37634704123312
"ENSCSAG00000006845",0.3454051163928,0.207502208499024,0.224953786522325,0.329679851034561,0.552150588446855,0.0962126913630012
"ENSCSAG00000006849",0.0668331654656731,0.66160516738101,1.01972717169998,0.0720801251075174,0.077954855383896,0.617679865521682
"ENSCSAG00000006861",-0.030561104878829,0.92091117694965,-0.00492133679589309,0.982761298060476,-0.0783585033188231,0.760304358723645
"ENSCSAG00000006863",0.0195291710571628,0.943513758517649,-0.10504622389889,0.597054760694389,-0.366930790891146,0.165442904500593
"ENSCSAG00000006894",0.0471373346529707,0.816484658151096,0.0479893103808274,0.827304017170869,0.117802456911104,0.492922448425763
"ENSCSAG00000006904",0.0184918116244306,0.942261801708039,-0.0922729078388083,0.604510546632505,-0.00195073296756356,0.992370856958046
"ENSCSAG00000006907",0.105904638282554,0.568137770337211,0.055594833975924,0.754152241838083,0.248424118406121,0.236177789851951
"ENSCSAG00000006918",-0.010463901634085,0.971660117865017,0.041586370786623,0.883464153016158,-0.0168153801569639,0.952457092704484
"ENSCSAG00000006927",-0.257179618219667,0.303179282336933,-0.114863131313695,0.609806932288166,-0.243815214635899,0.323041185916814
"ENSCSAG00000006942",-0.145795450758818,0.448589382574545,-0.833168044510884,0.0611003065217465,-0.0572213239257034,0.787952862712192
"ENSCSAG00000006968",0.0809752004183342,0.693961984164225,0.105167595852718,0.568659310740215,0.115938631527752,0.571450395248379
"ENSCSAG00000006997",0.31336921235954,0.234898233496386,0.372606296469847,0.170544435260656,0.633089485868849,0.0468623769628397
"ENSCSAG00000007011",0.0893980523569807,0.658400967804222,0.0426998748877128,0.827509670876804,0.0622915756864427,0.764470372637101
"ENSCSAG00000007042",0.00376609821291612,0.98438804126401,0.014856959773561,0.931874025000302,-0.0248550811617714,0.880093772956616
"ENSCSAG00000007049",0.264451077349865,0.267042641890991,0.339573140083301,0.173851632564233,0.643017533151622,0.0721656114141861
"ENSCSAG00000007070",-0.37047528909145,0.0293228792780886,-0.127993009186689,0.510657209393363,-0.459901081950956,0.00566386891601825
"ENSCSAG00000007073",-0.858528345261387,0.0477977577114937,-0.207822787817224,0.301700648875651,-0.8365105046049,0.0480828073292109
"ENSCSAG00000007113",-0.0582288102448659,0.761896031151922,0.00227735694675332,0.991938634842655,-0.143576780278217,0.415650446373299
"ENSCSAG00000007127",0.229505757209188,0.345185543933573,0.162118187357123,0.465439102383665,0.0121789779577733,0.963547401388395
"ENSCSAG00000007131",-0.11925364834723,0.585008184711656,-0.0428455636447249,0.840744022640346,-0.114863849049813,0.601264771080145
"ENSCSAG00000007142",-0.458590414243754,0.069269782417381,-0.3568506699438,0.139837967527736,-0.238697706403142,0.305920887965167
"ENSCSAG00000007162",-0.455346378000484,0.0340407228386245,-0.122739598227665,0.595870380094784,-0.411656974216438,0.0514240767224792
"ENSCSAG00000007166",0.192835409151406,0.122759833145162,0.125406949614274,0.220226305315451,0.159873972679435,0.204677783440748
"ENSCSAG00000007175",0.0756027088858287,0.776879113455184,0.216258403443641,0.367753174464128,0.156436952642728,0.525045951739188
"ENSCSAG00000007176",-0.126908008832554,0.561746976337175,-0.131329428886187,0.548655614039376,-0.0372299985214597,0.879502454890865
