"Gene","DPI3.lfc","DPI3.padj","DPI4.lfc","DPI4.padj","DPI5.lfc","DPI5.padj"
"THAP12",-0.15841924758669,0.37821820530629,-0.359394518514887,0.0431435091658048,-0.21088539273381,0.288667569869312
"THAP2",0.230572978472367,0.41156777667374,0.045414947687295,0.936223376308905,-0.00850847814427376,0.988267523633054
"THAP3",-0.146154005404057,0.499150920726299,0.0029185973214528,0.9964224057887,-0.0122450132710549,0.983131202219581
"THAP4",-0.177599114924768,0.33290454967671,-0.0439990802446834,0.901187822454145,-0.068162503111438,0.853128673329625
"THAP5",0.0738335246462656,0.756127218915627,-0.0999702352815629,0.789663219145528,-0.0146701528351574,0.98061540494161
"THAP6",0.0979133224680492,0.591443833848626,-0.094273406141669,0.745360759275464,-0.0725432907224666,0.834876922363233
"THAP7",0.19032603460133,0.372080672854,0.0685183516449976,0.852790517282287,-0.0128011677575369,0.9826511280847
"THAP8",0.355986457005779,0.239711096118891,-0.224113982257292,0.606940615784738,0.00113950015770485,0.997874261872778
"THBD",-0.326963660421849,0.301769687957529,0.0530627111520081,0.933086152034917,0.0394681744404728,0.915441690641637
"THBS1",1.05923657241775,0.018934478056075,-0.0375919296859274,0.949685128350729,0.0114637664887848,0.981137352669794
"THBS3",0.33567765811048,0.27234136839355,0.0366180256405213,0.951257825531562,0.0158916932886629,0.978650057901147
"THBS4",-0.362262928398729,0.228975999418355,-0.788143652286513,0.122607548099859,-0.0296766355106976,0.906403031971271
"THEM4",-0.460997799353723,0.166784921438802,0.161659131189244,0.736794780130102,0.101536388188473,0.719803117568806
"THEM6",0.377335423934255,0.0921051310051225,1.01930510037856,1.68170173113231e-07,0.639813105732314,0.00174709034964253
"THEMIS",0.137045045890711,0.645054595365545,0.217660988214963,0.638397075037087,0.0600909196651987,0.800118800906915
"THEMIS2",0.256033523377695,0.402039064382691,1.06048230624029,0.0535268806255221,0.237002607703063,0.169128628678083
"THG1L",0.0236970732492491,0.929684919998328,-0.262766339914808,0.377641526843773,-0.117488285591173,0.713174173615184
"THNSL1",0.309792636401902,0.313889585546553,0.291868118017607,0.498872585739757,0.0473870089698429,0.825205487338904
"THNSL2",0.279495388027311,0.322178100019343,0.369627072364342,0.293271550520136,0.120934559035938,0.699546379293645
"THOC1",-0.166815707226665,0.487199767109343,-0.0743079775793063,0.861236721468299,-0.122379873465874,0.700031991589687
"THOC2",0.0782147905870535,0.644415561850851,-0.0504404326558009,0.866899786481705,0.0840315623931041,0.783834996061174
"THOC3",-0.375452273270902,0.249419758668194,0.111496802817518,0.832844529436289,-0.0700759324683873,0.810165005202141
"THOC5",-0.0411714792371041,0.825279947935839,0.0985639464696833,0.701829669024482,0.0753228582295242,0.819920858174594
"THOC6",-0.248381141788263,0.418770784158418,-0.0565985740056911,0.924846021721511,-0.0385540504226521,0.915439805272198
"THOC7",-0.460084388931228,0.0078157277968049,-0.327249104647036,0.0908721769674019,-0.306371958675841,0.083765648624049
"THOP1",0.0761172646026457,0.749585647691084,0.346769283654626,0.165837570197188,0.336335155123538,0.128355658205176
